final_prism_id,event_id,state,latitude,longitude,elevation_m,slope_deg,aspect_deg,curvature,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,land_cover,ndvi,soil_type,distance_to_river_m,distance_to_road_m,landslide,monsoon_phase,severity_class,is_fatal,reliability_score,source,prism_record_id,record_type,landslide_id,location_id,district,source_state_code,source_district_code,location,locality_nh_sh,toposheet_no,coordinate_quality_flag,history,material_type,type_of_movement,rate_of_movement,activity,distribution,style,failure_mechanism,scar_length_m,scar_length_m_raw,length_m,length_m_raw,width_m,width_m_raw,height_m,height_m_raw,runout_distance_m,runout_distance_m_raw,depth_m,depth_m_raw,volume_m3,volume_m3_raw,landslide_area_m2,landslide_area_m2_raw,geomorphology,geology,structure_data,land_use_land_cover,hydrological_condition,rainfall_mm,triggering_factor,geo_scientific_causes,remedial_measures,fatalities,fatalities_raw,people_affected,people_affected_raw,livestock_loss,livestock_loss_raw,damage_communication,damage_infrastructure,agriculture_forest_barren,geomorphological_process,geomorphological_form,weathering,rock_characteristic,overburden_type,overburden_thickness_m,land_use_type,erosion,slope_susceptibility_assessment,qualitative_risk_assessment,landslide_label,spatial_scale,source_page,northeast_region,dataset_origin,record_provenance,synthetic_record,data_role,source_dataset,observed_status,label_fill_source,environmental_data_status,external_enrichment_policy
PRISM_FINAL_001549,1057562.0,Assam,27.163,94.0,340.9,16.15,249.5,2.281,88.6,171.4,422.9,Built-up,0.215,Loam,357.7,195.8,1.0,Monsoon (Jun-Sep),No fatalities,0.0,9.0,real_event,PRISM_001549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001550,938384.0,Sikkim,27.2319,88.497,2647.0,42.55,281.8,0.943,133.5,275.9,481.1,Open Forest,0.626,Laterite,324.2,252.3,1.0,Monsoon (Jun-Sep),No fatalities,0.0,9.0,real_event,PRISM_001550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001551,1048412.0,Tripura,23.8986,91.7599,180.7,11.95,100.7,-1.23,43.4,126.9,257.0,Built-up,0.378,Laterite,445.3,332.9,1.0,Monsoon (Jun-Sep),No fatalities,0.0,9.0,real_event,PRISM_001551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001552,938422.0,Sikkim,27.4459,88.6193,3725.6,41.91,342.7,-0.384,30.9,69.6,179.1,Cropland,0.454,Sandy Loam,480.5,331.2,1.0,Pre-monsoon (Apr-May),No fatalities,0.0,9.0,real_event,PRISM_001552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001553,1048430.0,Assam,26.19043105,91.77439654,102.7,11.18,122.0,-0.345,22.8,71.6,160.3,Open Forest,0.143,Loam,385.4,171.2,1.0,Monsoon (Jun-Sep),Minor (1-2),1.0,7.0,real_event,PRISM_001553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001554,1048379.0,Assam,26.13088435,91.71073619,75.5,20.09,337.3,-0.691,102.3,343.7,841.0,Dense Forest,0.39,Rocky/Skeletal,343.5,466.6,1.0,Monsoon (Jun-Sep),Moderate (3-5),1.0,9.0,real_event,PRISM_001554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001555,1057856.0,Manipur,25.4976444,94.12901274,1250.3,24.16,233.4,-2.402,17.8,47.6,81.6,Open Forest,0.673,Clay Loam,406.5,186.6,1.0,Monsoon (Jun-Sep),No fatalities,0.0,7.0,real_event,PRISM_001555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001556,938452.0,Sikkim,27.26801207,88.73536786,2715.8,39.81,306.9,1.46,50.9,191.7,488.3,Built-up,0.592,Loam,1209.5,278.7,1.0,Monsoon (Jun-Sep),Severe (5+),1.0,9.0,real_event,PRISM_001556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001557,1050584.0,Assam,24.96518283,92.69340028,154.9,18.84,334.6,-1.056,79.5,212.4,534.1,Open Forest,0.213,Loam,329.7,265.7,1.0,Monsoon (Jun-Sep),Moderate (3-5),1.0,9.0,real_event,PRISM_001557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001558,1050643.0,Mizoram,23.33501164,92.85410625,856.9,26.99,202.3,-1.387,40.2,120.3,213.6,Dense Forest,0.086,Laterite,1036.5,310.8,1.0,Monsoon (Jun-Sep),Minor (1-2),1.0,9.0,real_event,PRISM_001558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001559,938329.0,Sikkim,27.28709076,88.38035955,3368.4,23.44,357.4,0.795,165.4,527.0,1240.4,Cropland,0.457,Silty Clay,558.4,142.2,1.0,Monsoon (Jun-Sep),Moderate (3-5),1.0,9.0,real_event,PRISM_001559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001560,1054555.0,Manipur,24.9356,93.8443,797.7,28.24,136.0,1.051,38.8,80.9,140.0,Cropland,0.02,Silty Clay,865.1,162.5,1.0,Monsoon (Jun-Sep),No fatalities,0.0,9.0,real_event,PRISM_001560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001561,1048473.0,Assam,26.10993404,91.81498746,179.3,16.92,68.4,0.067,71.0,153.9,257.2,Open Forest,0.347,Loam,869.0,134.9,1.0,Monsoon (Jun-Sep),Minor (1-2),1.0,9.0,real_event,PRISM_001561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001562,1048449.0,Assam,26.1833,91.8,110.4,17.29,132.8,0.043,35.7,126.4,313.5,Built-up,0.398,Silty Clay,734.1,163.6,1.0,Monsoon (Jun-Sep),No fatalities,0.0,9.0,real_event,PRISM_001562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001563,1057024.0,Manipur,24.7992,93.948,652.4,22.87,67.1,-3.247,81.0,287.4,509.4,Cropland,0.546,Sandy Loam,1709.8,462.6,1.0,Monsoon (Jun-Sep),No fatalities,0.0,10.0,real_event,PRISM_001563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001564,1050672.0,Assam,26.5836,93.0038,160.1,17.4,11.2,-1.481,41.7,97.1,159.6,Shrubland,0.628,Loam,326.0,308.8,1.0,Monsoon (Jun-Sep),No fatalities,0.0,9.0,real_event,PRISM_001564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001565,938381.0,Sikkim,27.201,88.4883,4069.9,44.4,266.3,0.713,3.5,11.5,20.0,Barren/Degraded,0.404,Rocky/Skeletal,757.1,374.5,1.0,Monsoon (Jun-Sep),No fatalities,0.0,9.0,real_event,PRISM_001565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001566,1050773.0,Manipur,24.7625,93.4341,1027.5,36.46,272.4,-0.586,35.6,116.5,278.2,Shrubland,0.02,Clay Loam,403.3,411.8,1.0,Monsoon (Jun-Sep),No fatalities,0.0,9.0,real_event,PRISM_001566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001567,1050770.0,Manipur,24.7505,93.4221,2041.7,34.19,8.0,-1.46,90.9,185.1,322.9,Cropland,0.269,Silty Clay,535.7,364.2,1.0,Monsoon (Jun-Sep),No fatalities,0.0,9.0,real_event,PRISM_001567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001568,938400.0,Sikkim,27.49532869,88.5364844,3898.4,31.02,215.3,-1.102,22.4,86.8,180.2,Barren/Degraded,0.538,Clay Loam,476.7,227.1,1.0,Monsoon (Jun-Sep),No fatalities,0.0,9.0,real_event,PRISM_001568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001569,1050577.0,Mizoram,24.02940241,92.66984764,717.8,37.45,334.0,-0.851,29.6,81.3,188.5,Shrubland,0.459,Sandy Loam,938.2,717.0,1.0,Post-monsoon (Oct-Nov),Minor (1-2),1.0,9.0,real_event,PRISM_001569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001570,1048547.0,Assam,26.13140438,91.93086808,279.9,10.7,291.8,0.173,65.7,145.2,269.6,Open Forest,0.329,Clay Loam,1001.5,65.3,1.0,Monsoon (Jun-Sep),Moderate (3-5),1.0,9.0,real_event,PRISM_001570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001571,1050805.0,Manipur,24.9818,93.5142,1681.8,31.95,148.8,0.031,50.7,106.3,204.4,Barren/Degraded,0.405,Loam,781.8,501.4,1.0,Monsoon (Jun-Sep),No fatalities,0.0,9.0,real_event,PRISM_001571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001572,938414.0,Sikkim,27.339,88.6065,2487.7,30.97,123.4,2.128,91.8,283.3,709.8,Shrubland,0.253,Clay Loam,514.2,149.4,1.0,Monsoon (Jun-Sep),No fatalities,0.0,9.0,real_event,PRISM_001572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001573,938369.0,Sikkim,27.1141,88.4658,1386.5,40.48,351.5,-0.826,80.2,261.2,486.9,Barren/Degraded,0.483,Laterite,1469.5,180.7,1.0,Monsoon (Jun-Sep),No fatalities,0.0,9.0,real_event,PRISM_001573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001574,1050721.0,Assam,25.4749,93.1477,298.1,14.56,171.0,0.948,15.4,34.5,69.7,Cropland,0.341,Laterite,313.0,295.0,1.0,Post-monsoon (Oct-Nov),No fatalities,0.0,9.0,real_event,PRISM_001574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001575,1050652.0,Assam,25.1175,92.8573,42.3,18.05,130.1,-0.737,19.7,65.1,156.0,Cropland,0.186,Sandy Loam,474.6,66.6,1.0,Monsoon (Jun-Sep),No fatalities,0.0,9.0,real_event,PRISM_001575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001576,1050715.0,Assam,25.19640994,93.13430585,337.2,12.26,138.5,-1.548,6.1,17.6,43.1,Shrubland,0.361,Loam,447.6,454.0,1.0,Dry season (Dec-Mar),No fatalities,0.0,9.0,real_event,PRISM_001576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001577,938364.0,Sikkim,27.1344,88.4575,1332.8,44.29,25.6,-3.26,39.9,101.2,245.7,Built-up,0.372,Laterite,426.5,394.3,1.0,Monsoon (Jun-Sep),No fatalities,0.0,9.0,real_event,PRISM_001577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001578,1048397.0,Assam,26.1548,91.7351,129.4,15.75,94.9,-1.294,120.8,245.9,570.9,Barren/Degraded,0.391,Clay Loam,196.9,289.2,1.0,Monsoon (Jun-Sep),Moderate (3-5),1.0,10.0,real_event,PRISM_001578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
PRISM_FINAL_001579,1050898.0,Manipur,24.8142,93.5444,1359.8,29.08,324.0,0.961,166.2,453.0,942.2,Open Forest,0.257,Rocky/Skeletal,257.7,403.9,1.0,Monsoon (Jun-Sep),No fatalities,0.0,9.0,real_event,PRISM_001579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,NER,github_real_event,observed,False,observed_landslide,github_real_event,observed,existing_landslide_field,complete_in_source,No environmental value was guessed or imputed. Missing terrain/land-cover/soil/distance/rainfall values require coordinate-based extraction from authoritative spatial/time-series datasets.
